FIELD	Untitled
Stranded_Rule_Code	0
READ_PAIR_OK	14938077
TOTAL_READ_PAIRS	24587227
DROPPED_NOT_PROPER_PAIR	-1
DROPPED_READ_FAILS_VENDOR_QC	0
DROPPED_MARKED_NOT_VALID	0
DROPPED_CHROMS_MISMATCH	-1
DROPPED_PAIR_STRANDS_MISMATCH	-1
DROPPED_IGNORED_CHROMOSOME	0
DROPPED_NOT_UNIQUE_ALIGNMENT	9649150
DROPPED_NO_ALN_BLOCKS	0
DROPPED_NOT_MARKED_RG	-1
KEPT_NOT_UNIQUE_ALIGNMENT	0
minObservedReadLength	51
maxObservedReadLength	51
maxLegalPhredScore	41
IS_SINGLE_END	1
PREALIGNMENT_READ_CT	-1
BENCHMARK_MinutesOnSamIteration	10.23
BENCHMARK_MinutesPerMillionReads	0.42
BENCHMARK_MinutesPerMillionGoodReads	0.69
ReadPairs_AmbigGene	5061867
ReadPairs_UniqueGene	4099687
ReadPairs_UniqueGene_CDS	1335315
ReadPairs_UniqueGene_UTR	2764372
ReadPairs_NoGene	5776523
ReadPairs_NoGene_Intron	2227209
ReadPairs_NoGene_OneKbFromGene	887579
ReadPairs_NoGene_TenKbFromGene	1810264
ReadPairs_NoGene_MiddleOfNowhere	851471
Genes_Total	69453
Genes_WithZeroCounts	59111
Genes_WithNonzeroCounts	10342
AVG_GC	0.47
AggregateGenes	29256
AggregateGenes_NoReads	15575
AggregateGenes_WithReads	13681
SpliceLoci	255003
SpliceLoci_Known	247714
SpliceLoci_Known_NoReads	231571
SpliceLoci_Known_FewReads	3519
SpliceLoci_Known_ManyReads	12624
SpliceLoci_Novel	7289
SpliceLoci_Novel_FewReads	3990
SpliceLoci_Novel_ManyReads	3299
SpliceEvents	2207589
SpliceEvents_KnownLoci	664500
SpliceEvents_KnownLociWithFewReads	6518
SpliceEvents_KnownLociWithManyReads	657982
SpliceEvents_NovelLoci	1543089
SpliceEvents_NovelLociWithFewReads	6206
SpliceEvents_NovelLociWithManyReads	1536883
StrandTest_frFirstStrand	94168
StrandTest_frSecondStrand	8858261
StrandTest_ambig_genesFountOnBothStrands	209125
StrandTest_ambig_noGenes	5776523
StrandTest_ambig_other	0
StrandTest_STRANDEDNESS_MATCHES_INFERRED	0
NumberOfChromosomesCovered	185
deletionLoci	7179
insertionLoci	5032
deletionEventCt	41112
insertionEventCt	29724
highCoverageDeletionLoci	2030
highCoverageInsertionLoci	1604
NumReadsAtMaxReadLength_R1	14938077
NumReadsAtMaxReadLength_R2	0
NumReadsTruncated_R1	0
NumReadsTruncated_R2	0
NumReadsTruncated_25pct_R1	0
NumReadsTruncated_25pct_R2	0
NumReadsTruncated_50pct_R1	0
NumReadsTruncated_50pct_R2	0
NumReadsTruncated_75pct_R1	0
NumReadsTruncated_75pct_R2	0
READ_LENGTH	51
COMPLETED_WITHOUT_WARNING	0
QoRTs_initTimeStamp	1559254348802
QoRTs_samDoneTimeStamp	1559255005477
QoRTs_majorVer	1
QoRTs_minorVer	3
QoRTs_patchVer	6
QoRTs_compileTimeStamp	1537888906
COMPLETED_WITHOUT_ERROR	1
SpliceLoci_Known_Covered	16143
SpliceLoci_Novel_Covered	7289
SpliceLoci_Covered	23432
GC_byRead_Mean	24.12
GC_byRead_Median	25
GeneBodyCoverage_Overall_Mean	0.74
GeneBodyCoverage_Overall_Median	0.86
GeneBodyCoverage_LowExpress_Mean	0.65
GeneBodyCoverage_LowExpress_Median	0.76
GeneBodyCoverage_UMQuartile_Mean	0.73
GeneBodyCoverage_UMQuartile_Median	0.86
geneDiversityProfile_top1count	58147
geneDiversityProfile_top10count	249643
geneDiversityProfile_top100count	1089436
geneDiversityProfile_top1000count	2928415
geneDiversityProfile_top1pct	0.01
geneDiversityProfile_top10pct	0.06
geneDiversityProfile_top100pct	0.27
geneDiversityProfile_top1000pct	0.71
