FIELD	COUNT	DESC
Stranded_Rule_Code	0	Code for the strandedness rule used. 0 if data is unstranded, 1 if data is fr_firstStrand, 2 if data is fr_secondStrand.
READ_PAIR_OK	14629051	Number of reads or read-pairs that pass initial filters and are processed by QoRTs.
TOTAL_READ_PAIRS	20336643	Total number of reads or read-pairs found in the input file.
DROPPED_NOT_PROPER_PAIR	-1	Number of reads or read-pairs dropped because the 'not proper pair' SAM flag is raised.
DROPPED_READ_FAILS_VENDOR_QC	0	Number of reads or read-pairs that have the 'failed vendor QC' SAM flag raised.
DROPPED_MARKED_NOT_VALID	0	Number of reads or read-pairs dropped because marked 'not valid'
DROPPED_CHROMS_MISMATCH	-1	Number of read-pairs dropped because the paired reads align to different chromosomes
DROPPED_PAIR_STRANDS_MISMATCH	-1	Number of read-pairs dropped because the paired reads align to inconsistent strands
DROPPED_IGNORED_CHROMOSOME	0	Number of reads or read-pairs dropped because they align to chromosomes marked for ignoring
DROPPED_NOT_UNIQUE_ALIGNMENT	5707592	Number of reads or read-pairs dropped because they are not uniquely aligned to single genomic locus
DROPPED_NO_ALN_BLOCKS	0	Number of reads or read-pairs dropped because they do not have any alignment blocks (despite being marked as aligned)
DROPPED_NOT_MARKED_RG	-1	Number of reads or read-pairs dropped because they are not in the correct read group (or -1 if read-group filtering is not on)
KEPT_NOT_UNIQUE_ALIGNMENT	0	Number of reads or read-pairs kept despite not being uniquely aligned.
minObservedReadLength	51	The base-pair length of the smallest read
maxObservedReadLength	51	The base-pair length of the largest read
maxLegalPhredScore	41	The largest observed PHRED score.
IS_SINGLE_END	1	0 if data is paired-ended, 1 if data is single-ended
PREALIGNMENT_READ_CT	-1	The number of reads found pre-alignment. Can be set using --seqReadCt or --rawfastq. -1 if unknown.
BENCHMARK_MinutesOnSamIteration	9.97	The number of minutes spent on the SAM iteration step.
BENCHMARK_MinutesPerMillionReads	0.49	The number of minutes per million reads spent on the SAM iteration step
BENCHMARK_MinutesPerMillionGoodReads	0.68	The number of minutes per million reads that passed the initial filtering step.
ReadPairs_AmbigGene	5456074	Number of reads or read-pairs that map to a genomic area that includes regions covered by more than one gene.
ReadPairs_UniqueGene	4782650	Number of reads or read-pairs that map to a genomic area covered by exactly one gene
ReadPairs_UniqueGene_CDS	1569700	Number of reads or read-pairs that map to a genomic area covered by exactly one gene, and intersect at least partially with the coding region of that gene.
ReadPairs_UniqueGene_UTR	3212950	Number of reads or read-pairs that map to a genomic area covered by exactly one gene, but that only cover the UTR (non-coding) regions.
ReadPairs_NoGene	4390327	Number of reads or read-pairs that are not assigned to any gene.
ReadPairs_NoGene_Intron	1586004	Number of reads or read-pairs that are not assigned to any gene, and that occur within an intronic region of one or more genes.
ReadPairs_NoGene_OneKbFromGene	1004340	Number of reads or read-pairs that are not assigned to any gene, and that are within 1kb from one or more genes.
ReadPairs_NoGene_TenKbFromGene	1307498	Number of reads or read-pairs that are not assigned to any gene, and that are within 10kb from one or more genes.
ReadPairs_NoGene_MiddleOfNowhere	492485	Number of reads or read-pairs that are not assigned to any gene, and that are more than 10kb from the nearest gene
Genes_Total	69453	Number of known genes
Genes_WithZeroCounts	56659	Number of genes with zero observed reads
Genes_WithNonzeroCounts	12794	Number of genes with 1 or more observed reads
AVG_GC	0.4779492726109607	Average GC fraction across all reads
AggregateGenes	29256	Number of aggregate genes
AggregateGenes_NoReads	14154	Number of aggregate genes with 0 observed reads
AggregateGenes_WithReads	15102	Number of aggregate genes with 1 or more observed reads
SpliceLoci	264283	Number of splice loci observed
SpliceLoci_Known	247714	Number of known splice loci
SpliceLoci_Known_NoReads	219027	Number of known splice loci with 0 observed reads
SpliceLoci_Known_FewReads	14945	Number of known splice loci with 1-3 observed reads
SpliceLoci_Known_ManyReads	13742	Number of known splice loci with 4+ observed reads
SpliceLoci_Novel	16569	Number of novel splice loci observed
SpliceLoci_Novel_FewReads	14605	Number of novel splice loci observed with 1-3 observed reads
SpliceLoci_Novel_ManyReads	1964	Number of novel splice loci observed with 4+ observed reads
SpliceEvents	1773092	Number of observed splicing events (each read or read-pair that maps across a splice junction is a splice 'event')
SpliceEvents_KnownLoci	866849	Number of splice events covering known SJ loci
SpliceEvents_KnownLociWithFewReads	24390	Number of splice events covering low-coverage known SJ loci
SpliceEvents_KnownLociWithManyReads	842459	Number of splice events covering high-coverage known SJ loci
SpliceEvents_NovelLoci	906243	Number of splice events covering noverl SJ loci
SpliceEvents_NovelLociWithFewReads	19764	Number of splice events covering low-coverage novel SJ loci
SpliceEvents_NovelLociWithManyReads	886479	Number of splice events covering high-coverage novel SJ loci
StrandTest_frFirstStrand	88714	Number of reads or read-pairs that match the fr_FirstStrand strandedness rule
StrandTest_frSecondStrand	9916793	Number of reads or read-pairs that match the fr_secondstrand strandedness rule
StrandTest_ambig_genesFountOnBothStrands	233217	Number of reads or read-pairs where the strandedness is ambiguous due to there being genes on both strands
StrandTest_ambig_noGenes	4390327	Number of reads or read-pairs where the strandedness is ambiguous due to there being no known genes.
StrandTest_ambig_other	0	Numebr of reads or read-pairs where the strandedness is ambiguous due to other reasons
StrandTest_STRANDEDNESS_MATCHES_INFERRED	0	1 if the strandedness appears to match the strandedness mode, 0 otherwise.
NumberOfChromosomesCovered	213	Number of chromosomes with 1 or more aligned reads.
deletionLoci	17298	Number of observed deletion loci
insertionLoci	12279	Number of observed insertion loci
deletionEventCt	37855	Number of times deletions are observed in a read
insertionEventCt	30835	Number of times insertions are observed in a read
highCoverageDeletionLoci	511	Number of high-coverage deletion loci.
highCoverageInsertionLoci	483	Number of high-coverage insertion loci
NumReadsAtMaxReadLength_R1	14629051	Number of read-1 reads at the max length.
NumReadsAtMaxReadLength_R2	0	Number of read-2 reads at the max length.
NumReadsTruncated_R1	0	Number of read-1 reads that are not at the max length.
NumReadsTruncated_R2	0	Number of read-2 reads that are not at the max length.
NumReadsTruncated_25pct_R1	0	Number of read-1 reads that are truncated to less than 25% of the max length
NumReadsTruncated_25pct_R2	0	Number of read-2 reads that are truncated to less than 25% of the max length
NumReadsTruncated_50pct_R1	0	Number of read-1 reads that are truncated to less than 50% of the max length
NumReadsTruncated_50pct_R2	0	Number of read-2 reads that are truncated to less than 50% of the max length
NumReadsTruncated_75pct_R1	0	Number of read-1 reads that are truncated to less than 75% of the max length
NumReadsTruncated_75pct_R2	0	Number of read-2 reads that are truncated to less than 75% of the max length
READ_LENGTH	51	The read length.
COMPLETED_WITHOUT_WARNING	0	0 if complete without throwing any warnings. 1 if warnings were thrown.
QoRTs_initTimeStamp	1559260589016	Time stamp for when QoRTs QC began.
