Sample	Stranded_Rule_Code	READ_PAIR_OK	TOTAL_READ_PAIRS	DROPPED_NOT_PROPER_PAIR	DROPPED_READ_FAILS_VENDOR_QC	DROPPED_MARKED_NOT_VALID	DROPPED_CHROMS_MISMATCH	DROPPED_PAIR_STRANDS_MISMATCH	DROPPED_IGNORED_CHROMOSOME	DROPPED_NOT_UNIQUE_ALIGNMENT	DROPPED_NO_ALN_BLOCKS	DROPPED_NOT_MARKED_RG	KEPT_NOT_UNIQUE_ALIGNMENT	minObservedReadLength	maxObservedReadLength	maxLegalPhredScore	IS_SINGLE_END	PREALIGNMENT_READ_CT	BENCHMARK_MinutesOnSamIteration	BENCHMARK_MinutesPerMillionReads	BENCHMARK_MinutesPerMillionGoodReads	ReadPairs_AmbigGene	ReadPairs_UniqueGene	ReadPairs_UniqueGene_CDS	ReadPairs_UniqueGene_UTR	ReadPairs_NoGene	ReadPairs_NoGene_Intron	ReadPairs_NoGene_OneKbFromGene	ReadPairs_NoGene_TenKbFromGene	ReadPairs_NoGene_MiddleOfNowhere	Genes_Total	Genes_WithZeroCounts	Genes_WithNonzeroCounts	AVG_GC	AggregateGenes	AggregateGenes_NoReads	AggregateGenes_WithReads	SpliceLoci	SpliceLoci_Known	SpliceLoci_Known_NoReads	SpliceLoci_Known_FewReads	SpliceLoci_Known_ManyReads	SpliceLoci_Novel	SpliceLoci_Novel_FewReads	SpliceLoci_Novel_ManyReads	SpliceEvents	SpliceEvents_KnownLoci	SpliceEvents_KnownLociWithFewReads	SpliceEvents_KnownLociWithManyReads	SpliceEvents_NovelLoci	SpliceEvents_NovelLociWithFewReads	SpliceEvents_NovelLociWithManyReads	StrandTest_frFirstStrand	StrandTest_frSecondStrand	StrandTest_ambig_genesFountOnBothStrands	StrandTest_ambig_noGenes	StrandTest_ambig_other	StrandTest_STRANDEDNESS_MATCHES_INFERRED	NumberOfChromosomesCovered	deletionLoci	insertionLoci	deletionEventCt	insertionEventCt	highCoverageDeletionLoci	highCoverageInsertionLoci	NumReadsAtMaxReadLength_R1	NumReadsAtMaxReadLength_R2	NumReadsTruncated_R1	NumReadsTruncated_R2	NumReadsTruncated_25pct_R1	NumReadsTruncated_25pct_R2	NumReadsTruncated_50pct_R1	NumReadsTruncated_50pct_R2	NumReadsTruncated_75pct_R1	NumReadsTruncated_75pct_R2	READ_LENGTH	COMPLETED_WITHOUT_WARNING	QoRTs_initTimeStamp	QoRTs_samDoneTimeStamp	QoRTs_majorVer	QoRTs_minorVer	QoRTs_patchVer	QoRTs_compileTimeStamp	COMPLETED_WITHOUT_ERROR	Genes_PercentWithNonzeroCounts
a1_aligned_sorted	0.0	14938077.0	24587227.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	9649150.0	0.0	-1.0	0.0	51.0	51.0	41.0	1.0	-1.0	10.23	0.42	0.69	5061867.0	4099687.0	1335315.0	2764372.0	5776523.0	2227209.0	887579.0	1810264.0	851471.0	69453.0	59111.0	10342.0	0.4730128939800542	29256.0	15575.0	13681.0	255003.0	247714.0	231571.0	3519.0	12624.0	7289.0	3990.0	3299.0	2207589.0	664500.0	6518.0	657982.0	1543089.0	6206.0	1536883.0	94168.0	8858261.0	209125.0	5776523.0	0.0	0.0	185.0	7179.0	5032.0	41112.0	29724.0	2030.0	1604.0	14938077.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	1559254348802.0	1559255005477.0	1.0	3.0	6.0	1537888906.0	1.0	14.89064547247779
a2_aligned_sorted	0.0	10656460.0	15779584.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	5123124.0	0.0	-1.0	0.0	51.0	51.0	41.0	1.0	-1.0	7.72	0.49	0.72	3505997.0	2828566.0	929079.0	1899487.0	4321897.0	1570991.0	520043.0	1692908.0	537955.0	69453.0	61561.0	7892.0	0.47541441951884755	29256.0	17275.0	11981.0	251000.0	247714.0	239442.0	1543.0	6729.0	3286.0	1785.0	1501.0	1997171.0	435242.0	2049.0	433193.0	1561929.0	2239.0	1559690.0	58564.0	6135055.0	140944.0	4321897.0	0.0	0.0	125.0	2641.0	1933.0	28175.0	20334.0	1513.0	1129.0	10656460.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	1559255020098.0	1559255527625.0	1.0	3.0	6.0	1537888906.0	1.0	11.363080068535556
b1_aligned_sorted	0.0	19221864.0	26833505.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	7611641.0	0.0	-1.0	0.0	51.0	51.0	41.0	1.0	-1.0	11.62	0.43	0.6	6180278.0	5330139.0	1679152.0	3650987.0	7711447.0	2829006.0	1077366.0	2994938.0	810137.0	69453.0	56330.0	13123.0	0.4731020609645535	29256.0	13862.0	15394.0	264460.0	247714.0	220116.0	12430.0	15168.0	16746.0	13863.0	2883.0	3202750.0	887323.0	21825.0	865498.0	2315427.0	20777.0	2294650.0	117023.0	11115140.0	278254.0	7711447.0	0.0	0.0	232.0	18151.0	12672.0	48088.0	36579.0	807.0	707.0	19221864.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	1559255540838.0	1559256276670.0	1.0	3.0	6.0	1537888906.0	1.0	18.89479216160569
b2_aligned_sorted	0.0	15807566.0	22671483.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	6863917.0	0.0	-1.0	0.0	51.0	51.0	41.0	1.0	-1.0	10.75	0.47	0.68	5002101.0	4231935.0	1336042.0	2895893.0	6573530.0	2295136.0	853911.0	2751561.0	672922.0	69453.0	56638.0	12815.0	0.4639142076075899	29256.0	14065.0	15191.0	262304.0	247714.0	220449.0	12645.0	14620.0	14590.0	12306.0	2284.0	2917757.0	693644.0	22044.0	671600.0	2224113.0	18243.0	2205870.0	93725.0	8920715.0	219596.0	6573530.0	0.0	0.0	224.0	15197.0	11308.0	39029.0	30075.0	591.0	576.0	15807566.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	1559256291312.0	1559256978583.0	1.0	3.0	6.0	1537888906.0	1.0	18.451326796538666
c1_aligned_sorted	0.0	14844080.0	22732151.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	7888071.0	0.0	-1.0	0.0	51.0	51.0	41.0	1.0	-1.0	10.97	0.48	0.74	5425312.0	4598064.0	1482660.0	3115404.0	4820704.0	1262502.0	945897.0	1999409.0	612896.0	69453.0	58351.0	11102.0	0.48020009357882676	29256.0	15052.0	14204.0	258312.0	247714.0	226108.0	7724.0	13882.0	10598.0	7471.0	3127.0	2391462.0	784626.0	14292.0	770334.0	1606836.0	12049.0	1594787.0	87857.0	9700168.0	235351.0	4820704.0	0.0	0.0	180.0	10394.0	7047.0	35034.0	26848.0	903.0	703.0	14844080.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	1559256994005.0	1559257692932.0	1.0	3.0	6.0	1537888906.0	1.0	15.98491065900681
c2_aligned_sorted	0.0	15817462.0	23025959.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	7208497.0	0.0	-1.0	0.0	51.0	51.0	41.0	1.0	-1.0	11.55	0.5	0.73	6068908.0	5027615.0	1680415.0	3347200.0	4720939.0	1302972.0	1000818.0	1909933.0	507216.0	69453.0	57625.0	11828.0	0.47742163583590697	29256.0	14626.0	14630.0	260122.0	247714.0	222158.0	10332.0	15224.0	12408.0	9526.0	2882.0	2528466.0	901743.0	18668.0	883075.0	1626723.0	14736.0	1611987.0	90983.0	10756337.0	249203.0	4720939.0	0.0	0.0	186.0	13328.0	9002.0	41770.0	30558.0	815.0	712.0	15817462.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	1559257712160.0	1559258448499.0	1.0	3.0	6.0	1537888906.0	1.0	17.030221876664793
d1_aligned_sorted	0.0	21113908.0	28467574.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	7353666.0	0.0	-1.0	0.0	51.0	51.0	41.0	1.0	-1.0	14.27	0.5	0.68	7382217.0	6675348.0	2147528.0	4527820.0	7056343.0	3072552.0	1403625.0	1779237.0	800929.0	69453.0	55650.0	13803.0	0.47238281888076966	29256.0	13562.0	15694.0	269118.0	247714.0	215561.0	15693.0	16460.0	21404.0	18576.0	2828.0	2031412.0	1146273.0	26412.0	1119861.0	885139.0	25969.0	859170.0	133570.0	13596968.0	327027.0	7056343.0	0.0	0.0	249.0	24544.0	17330.0	61526.0	45749.0	894.0	729.0	21113908.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	1559258465336.0	1559259366283.0	1.0	3.0	6.0	1537888906.0	1.0	19.873871539026393
d2_aligned_sorted	0.0	11384343.0	16867608.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	5483265.0	0.0	-1.0	0.0	51.0	51.0	41.0	1.0	-1.0	8.33	0.49	0.73	3753745.0	3266830.0	1028346.0	2238484.0	4363768.0	1487145.0	757768.0	1624846.0	494009.0	69453.0	57512.0	11941.0	0.475872939195176	29256.0	14699.0	14557.0	260276.0	247714.0	224600.0	12068.0	11046.0	12562.0	10786.0	1776.0	1792682.0	532678.0	20379.0	512299.0	1260004.0	15473.0	1244531.0	70638.0	6749166.0	200771.0	4363768.0	0.0	0.0	203.0	11697.0	8256.0	27027.0	20775.0	423.0	334.0	11384343.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	1559259381863.0	1559259919984.0	1.0	3.0	6.0	1537888906.0	1.0	17.192921832030294
e1_aligned_sorted	0.0	15860412.0	20995841.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	5135429.0	0.0	-1.0	0.0	51.0	51.0	41.0	1.0	-1.0	9.85	0.47	0.62	5828234.0	5273428.0	1769500.0	3503928.0	4758750.0	1912338.0	1124170.0	1181863.0	540379.0	69453.0	56357.0	13096.0	0.47041592791741926	29256.0	14000.0	15256.0	266477.0	247714.0	217167.0	16143.0	14404.0	18763.0	16846.0	1917.0	1472839.0	963450.0	26103.0	937347.0	509389.0	22220.0	487169.0	95706.0	10760556.0	245400.0	4758750.0	0.0	0.0	228.0	19050.0	13467.0	44091.0	32122.0	573.0	491.0	15860412.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	1559259937087.0	1559260574640.0	1.0	3.0	6.0	1537888906.0	1.0	18.85591695103163
e2_aligned_sorted	0.0	14629051.0	20336643.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	5707592.0	0.0	-1.0	0.0	51.0	51.0	41.0	1.0	-1.0	9.97	0.49	0.68	5456074.0	4782650.0	1569700.0	3212950.0	4390327.0	1586004.0	1004340.0	1307498.0	492485.0	69453.0	56659.0	12794.0	0.4779492726109607	29256.0	14154.0	15102.0	264283.0	247714.0	219027.0	14945.0	13742.0	16569.0	14605.0	1964.0	1773092.0	866849.0	24390.0	842459.0	906243.0	19764.0	886479.0	88714.0	9916793.0	233217.0	4390327.0	0.0	0.0	213.0	17298.0	12279.0	37855.0	30835.0	511.0	483.0	14629051.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	1559260589016.0	1559261230269.0	1.0	3.0	6.0	1537888906.0	1.0	18.42109052164773
f1_aligned_sorted	0.0	23199465.0	30855646.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	7656181.0	0.0	-1.0	0.0	51.0	51.0	41.0	1.0	-1.0	16.37	0.53	0.71	8406418.0	7672069.0	2477483.0	5194586.0	7120978.0	2618443.0	1532760.0	2176152.0	793623.0	69453.0	55711.0	13742.0	0.4755350963392918	29256.0	13546.0	15710.0	269911.0	247714.0	213819.0	15954.0	17941.0	22197.0	18916.0	3281.0	2568653.0	1362737.0	27045.0	1335692.0	1205916.0	27184.0	1178732.0	139502.0	15566614.0	372371.0	7120978.0	0.0	0.0	247.0	24692.0	17287.0	64788.0	49108.0	986.0	800.0	23199465.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	1559261245393.0	1559262266729.0	1.0	3.0	6.0	1537888906.0	1.0	19.786042359581298
f2_aligned_sorted	0.0	12557863.0	17565762.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	5007899.0	0.0	-1.0	0.0	51.0	51.0	41.0	1.0	-1.0	8.7	0.5	0.69	4725642.0	4191181.0	1357289.0	2833892.0	3641040.0	1220134.0	804930.0	1218139.0	397837.0	69453.0	57805.0	11648.0	0.4808020153869365	29256.0	14877.0	14379.0	259868.0	247714.0	223213.0	11647.0	12854.0	12154.0	10086.0	2068.0	1564409.0	725472.0	20198.0	705274.0	838937.0	15011.0	823926.0	74153.0	8639801.0	202869.0	3641040.0	0.0	0.0	189.0	12428.0	8626.0	32936.0	24417.0	500.0	445.0	12557863.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	1559262296568.0	1559262861452.0	1.0	3.0	6.0	1537888906.0	1.0	16.77105380617108
