FIELD	a1_aligned_sorted	a2_aligned_sorted	b1_aligned_sorted	b2_aligned_sorted	c1_aligned_sorted	c2_aligned_sorted	d1_aligned_sorted	d2_aligned_sorted	e1_aligned_sorted	e2_aligned_sorted	f1_aligned_sorted	f2_aligned_sorted
Stranded_Rule_Code	0	0	0	0	0	0	0	0	0	0	0	0
READ_PAIR_OK	14938077	10656460	19221864	15807566	14844080	15817462	21113908	11384343	15860412	14629051	23199465	12557863
TOTAL_READ_PAIRS	24587227	15779584	26833505	22671483	22732151	23025959	28467574	16867608	20995841	20336643	30855646	17565762
DROPPED_NOT_PROPER_PAIR	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
DROPPED_READ_FAILS_VENDOR_QC	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_MARKED_NOT_VALID	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_CHROMS_MISMATCH	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
DROPPED_PAIR_STRANDS_MISMATCH	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
DROPPED_IGNORED_CHROMOSOME	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_NOT_UNIQUE_ALIGNMENT	9649150	5123124	7611641	6863917	7888071	7208497	7353666	5483265	5135429	5707592	7656181	5007899
DROPPED_NO_ALN_BLOCKS	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_NOT_MARKED_RG	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
KEPT_NOT_UNIQUE_ALIGNMENT	0	0	0	0	0	0	0	0	0	0	0	0
minObservedReadLength	51	51	51	51	51	51	51	51	51	51	51	51
maxObservedReadLength	51	51	51	51	51	51	51	51	51	51	51	51
maxLegalPhredScore	41	41	41	41	41	41	41	41	41	41	41	41
IS_SINGLE_END	1	1	1	1	1	1	1	1	1	1	1	1
PREALIGNMENT_READ_CT	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
BENCHMARK_MinutesOnSamIteration	10.23	7.72	11.62	10.75	10.97	11.55	14.27	8.33	9.85	9.97	16.37	8.7
BENCHMARK_MinutesPerMillionReads	0.42	0.49	0.43	0.47	0.48	0.5	0.5	0.49	0.47	0.49	0.53	0.5
BENCHMARK_MinutesPerMillionGoodReads	0.69	0.72	0.6	0.68	0.74	0.73	0.68	0.73	0.62	0.68	0.71	0.69
ReadPairs_AmbigGene	5061867	3505997	6180278	5002101	5425312	6068908	7382217	3753745	5828234	5456074	8406418	4725642
ReadPairs_UniqueGene	4099687	2828566	5330139	4231935	4598064	5027615	6675348	3266830	5273428	4782650	7672069	4191181
ReadPairs_UniqueGene_CDS	1335315	929079	1679152	1336042	1482660	1680415	2147528	1028346	1769500	1569700	2477483	1357289
ReadPairs_UniqueGene_UTR	2764372	1899487	3650987	2895893	3115404	3347200	4527820	2238484	3503928	3212950	5194586	2833892
ReadPairs_NoGene	5776523	4321897	7711447	6573530	4820704	4720939	7056343	4363768	4758750	4390327	7120978	3641040
ReadPairs_NoGene_Intron	2227209	1570991	2829006	2295136	1262502	1302972	3072552	1487145	1912338	1586004	2618443	1220134
ReadPairs_NoGene_OneKbFromGene	887579	520043	1077366	853911	945897	1000818	1403625	757768	1124170	1004340	1532760	804930
ReadPairs_NoGene_TenKbFromGene	1810264	1692908	2994938	2751561	1999409	1909933	1779237	1624846	1181863	1307498	2176152	1218139
ReadPairs_NoGene_MiddleOfNowhere	851471	537955	810137	672922	612896	507216	800929	494009	540379	492485	793623	397837
Genes_Total	69453	69453	69453	69453	69453	69453	69453	69453	69453	69453	69453	69453
Genes_WithZeroCounts	59111	61561	56330	56638	58351	57625	55650	57512	56357	56659	55711	57805
Genes_WithNonzeroCounts	10342	7892	13123	12815	11102	11828	13803	11941	13096	12794	13742	11648
AVG_GC	0.47	0.48	0.47	0.46	0.48	0.48	0.47	0.48	0.47	0.48	0.48	0.48
AggregateGenes	29256	29256	29256	29256	29256	29256	29256	29256	29256	29256	29256	29256
AggregateGenes_NoReads	15575	17275	13862	14065	15052	14626	13562	14699	14000	14154	13546	14877
AggregateGenes_WithReads	13681	11981	15394	15191	14204	14630	15694	14557	15256	15102	15710	14379
SpliceLoci	255003	251000	264460	262304	258312	260122	269118	260276	266477	264283	269911	259868
SpliceLoci_Known	247714	247714	247714	247714	247714	247714	247714	247714	247714	247714	247714	247714
SpliceLoci_Known_NoReads	231571	239442	220116	220449	226108	222158	215561	224600	217167	219027	213819	223213
SpliceLoci_Known_FewReads	3519	1543	12430	12645	7724	10332	15693	12068	16143	14945	15954	11647
SpliceLoci_Known_ManyReads	12624	6729	15168	14620	13882	15224	16460	11046	14404	13742	17941	12854
SpliceLoci_Novel	7289	3286	16746	14590	10598	12408	21404	12562	18763	16569	22197	12154
SpliceLoci_Novel_FewReads	3990	1785	13863	12306	7471	9526	18576	10786	16846	14605	18916	10086
SpliceLoci_Novel_ManyReads	3299	1501	2883	2284	3127	2882	2828	1776	1917	1964	3281	2068
SpliceEvents	2207589	1997171	3202750	2917757	2391462	2528466	2031412	1792682	1472839	1773092	2568653	1564409
SpliceEvents_KnownLoci	664500	435242	887323	693644	784626	901743	1146273	532678	963450	866849	1362737	725472
SpliceEvents_KnownLociWithFewReads	6518	2049	21825	22044	14292	18668	26412	20379	26103	24390	27045	20198
SpliceEvents_KnownLociWithManyReads	657982	433193	865498	671600	770334	883075	1119861	512299	937347	842459	1335692	705274
SpliceEvents_NovelLoci	1543089	1561929	2315427	2224113	1606836	1626723	885139	1260004	509389	906243	1205916	838937
SpliceEvents_NovelLociWithFewReads	6206	2239	20777	18243	12049	14736	25969	15473	22220	19764	27184	15011
SpliceEvents_NovelLociWithManyReads	1536883	1559690	2294650	2205870	1594787	1611987	859170	1244531	487169	886479	1178732	823926
StrandTest_frFirstStrand	94168	58564	117023	93725	87857	90983	133570	70638	95706	88714	139502	74153
StrandTest_frSecondStrand	8858261	6135055	11115140	8920715	9700168	10756337	13596968	6749166	10760556	9916793	15566614	8639801
StrandTest_ambig_genesFountOnBothStrands	209125	140944	278254	219596	235351	249203	327027	200771	245400	233217	372371	202869
StrandTest_ambig_noGenes	5776523	4321897	7711447	6573530	4820704	4720939	7056343	4363768	4758750	4390327	7120978	3641040
StrandTest_ambig_other	0	0	0	0	0	0	0	0	0	0	0	0
StrandTest_STRANDEDNESS_MATCHES_INFERRED	0	0	0	0	0	0	0	0	0	0	0	0
NumberOfChromosomesCovered	185	125	232	224	180	186	249	203	228	213	247	189
deletionLoci	7179	2641	18151	15197	10394	13328	24544	11697	19050	17298	24692	12428
insertionLoci	5032	1933	12672	11308	7047	9002	17330	8256	13467	12279	17287	8626
deletionEventCt	41112	28175	48088	39029	35034	41770	61526	27027	44091	37855	64788	32936
insertionEventCt	29724	20334	36579	30075	26848	30558	45749	20775	32122	30835	49108	24417
highCoverageDeletionLoci	2030	1513	807	591	903	815	894	423	573	511	986	500
highCoverageInsertionLoci	1604	1129	707	576	703	712	729	334	491	483	800	445
NumReadsAtMaxReadLength_R1	14938077	10656460	19221864	15807566	14844080	15817462	21113908	11384343	15860412	14629051	23199465	12557863
NumReadsAtMaxReadLength_R2	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_R1	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_R2	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_25pct_R1	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_25pct_R2	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_50pct_R1	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_50pct_R2	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_75pct_R1	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_75pct_R2	0	0	0	0	0	0	0	0	0	0	0	0
READ_LENGTH	51	51	51	51	51	51	51	51	51	51	51	51
COMPLETED_WITHOUT_WARNING	0	0	0	0	0	0	0	0	0	0	0	0
QoRTs_initTimeStamp	1559254348802	1559255020098	1559255540838	1559256291312	1559256994005	1559257712160	1559258465336	1559259381863	1559259937087	1559260589016	1559261245393	1559262296568
QoRTs_samDoneTimeStamp	1559255005477	1559255527625	1559256276670	1559256978583	1559257692932	1559258448499	1559259366283	1559259919984	1559260574640	1559261230269	1559262266729	1559262861452
QoRTs_majorVer	1	1	1	1	1	1	1	1	1	1	1	1
QoRTs_minorVer	3	3	3	3	3	3	3	3	3	3	3	3
QoRTs_patchVer	6	6	6	6	6	6	6	6	6	6	6	6
QoRTs_compileTimeStamp	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906
COMPLETED_WITHOUT_ERROR	1	1	1	1	1	1	1	1	1	1	1	1
SpliceLoci_Known_Covered	16143	8272	27598	27265	21606	25556	32153	23114	30547	28687	33895	24501
SpliceLoci_Novel_Covered	7289	3286	16746	14590	10598	12408	21404	12562	18763	16569	22197	12154
SpliceLoci_Covered	23432	11558	44344	41855	32204	37964	53557	35676	49310	45256	56092	36655
GC_byRead_Mean	24.12	24.24	24.12	23.65	24.48	24.34	24.09	24.26	23.99	24.37	24.25	24.52
GC_byRead_Median	25	25	25	24	25	25	24	25	24	25	25	25
GeneBodyCoverage_Overall_Mean	0.74	0.73	0.75	0.75	0.75	0.73	0.74	0.77	0.74	0.75	0.74	0.74
GeneBodyCoverage_Overall_Median	0.86	0.84	0.86	0.86	0.86	0.84	0.86	0.89	0.84	0.86	0.84	0.84
GeneBodyCoverage_LowExpress_Mean	0.65	0.69	0.63	0.65	0.66	0.64	0.62	0.65	0.63	0.63	0.63	0.64
GeneBodyCoverage_LowExpress_Median	0.76	0.81	0.74	0.74	0.76	0.74	0.71	0.74	0.74	0.74	0.74	0.74
GeneBodyCoverage_UMQuartile_Mean	0.73	0.72	0.73	0.73	0.73	0.72	0.72	0.72	0.72	0.73	0.72	0.72
GeneBodyCoverage_UMQuartile_Median	0.86	0.86	0.86	0.86	0.86	0.84	0.84	0.86	0.84	0.86	0.84	0.84
geneDiversityProfile_top1count	58147	47577	94596	47414	105946	92406	218805	91291	199755	166965	261962	141526
geneDiversityProfile_top10count	249643	178935	343092	244937	312299	317703	513832	253301	442977	374549	583538	315811
geneDiversityProfile_top100count	1089436	750616	1439623	1089782	1290499	1333386	1853879	942912	1502023	1341641	2120482	1155503
geneDiversityProfile_top1000count	2928415	2031216	3825211	2977002	3374384	3625535	4875280	2408200	3888816	3524571	5628466	3084927
geneDiversityProfile_top1pct	0.01	0.02	0.02	0.01	0.02	0.02	0.03	0.03	0.04	0.03	0.03	0.03
geneDiversityProfile_top10pct	0.06	0.06	0.06	0.06	0.07	0.06	0.08	0.08	0.08	0.08	0.08	0.08
geneDiversityProfile_top100pct	0.27	0.27	0.27	0.26	0.28	0.27	0.28	0.29	0.28	0.28	0.28	0.28
geneDiversityProfile_top1000pct	0.71	0.72	0.72	0.7	0.73	0.72	0.73	0.74	0.74	0.74	0.73	0.74
input.read.pair.count	28609507	18835765	31760835	26826472	26630474	26636200	33857144	20566946	24849902	23954433	36711257	20627964
total.aligned.rate	0.86	0.84	0.84	0.85	0.85	0.86	0.84	0.82	0.84	0.85	0.84	0.85
aligned.and.pf.rate	0.52	0.57	0.61	0.59	0.56	0.59	0.62	0.55	0.64	0.61	0.63	0.61
multi.mapped.read.pair.count	9649150	5123124	7611641	6863917	7888071	7208497	7353666	5483265	5135429	5707592	7656181	5007899
multi.mapped.rate	0.34	0.27	0.24	0.26	0.3	0.27	0.22	0.27	0.21	0.24	0.21	0.24
