sample,reads,aligned 0 times,aligned 1 time,aligned >1 times,overall rate
a1,28609507,4022280,14938077,9649150,0.86
a2,18835765,3056181,10656460,5123124,0.84
b1,31760835,4927330,19221864,7611641,0.84
b2,26826472,4154989,15807566,6863917,0.85
c1,26630474,3898323,14844080,7888071,0.85
c2,26636200,3610241,15817462,7208497,0.86
d1,33857144,5389570,21113908,7353666,0.84
d2,20566946,3699338,11384343,5483265,0.82
e1,24849902,3854061,15860412,5135429,0.84
e2,23954433,3617790,14629051,5707592,0.85
f1,36711257,5855611,23199465,7656181,0.84
f2,20627964,3062202,12557863,5007899,0.85
