Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Galaxy1-[DSCY001A_S16_L003_R1_001	61.188145019964495	48.0	51.0	18.181818181818183	36711257.0
Galaxy10-[DSCY001E_S20_L003_R1_001	50.82362383221076	48.0	51.0	18.181818181818183	24849902.0
Galaxy11-[DSCY001F_S21_L003_R1_001	57.07458746362741	49.0	51.0	18.181818181818183	23954433.0
Galaxy12-[DSCY001G_S22_L003_R1_001	69.6907133033823	50.0	51.0	18.181818181818183	26636200.0
Galaxy2-[DSCY001B_S17_L003_R1_001	63.6318132825669	49.0	51.0	18.181818181818183	20627964.0
Galaxy3-[DSCY001C_S18_L003_R1_001	58.32676553585714	48.0	51.0	18.181818181818183	33857144.0
Galaxy4-[DSCY001H_S23_L003_R1_001	84.87523153310948	49.0	51.0	27.27272727272727	28609507.0
Galaxy5-[DSCY001I_S24_L003_R1_001	66.41750408949416	49.0	51.0	27.27272727272727	31760835.0
Galaxy6-[DSCY001J_S25_L003_R1_001	75.68197014903748	50.0	51.0	27.27272727272727	26630474.0
Galaxy7-[DSCY001K_S26_L003_R1_001	89.91944896571958	48.0	51.0	27.27272727272727	18835765.0
Galaxy8-[DSCY001L_S27_L003_R1_001	64.17310008399954	48.0	51.0	27.27272727272727	26826472.0
Galaxy9-[DSCY001D_S19_L003_R1_001	61.66450164804349	49.0	51.0	27.27272727272727	20566946.0
